class,retro_templates
UNK,[C:2]-[NH2;D1;+0:1]>>O=C(-O-C-c1:c:c:c:c:c:1)-[NH;D2;+0:1]-[C:2]
UNK,[#16;a:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:5]-[c:6]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#16;a:4].[NH2;D1;+0:5]-[c:6]
UNK,[#8:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[N;H0;D3;+0:5](-[C:4])-[C:6]>>Cl-[C;H0;D3;+0:1](-[#8:2])=[O;D1;H0:3].[C:4]-[NH;D2;+0:5]-[C:6]
UNK,[#7;a:2]:[c;H0;D3;+0:1](:[c:3]:[#7;a:4])-[c;H0;D3;+0:5](:[c:6]):[c:7]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4].O-B(-O)-[c;H0;D3;+0:5](:[c:6]):[c:7]
UNK,[C:3]-[N;H0;D3;+0:4](-[C:5])-[CH2;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[C:3]-[NH;D2;+0:4]-[C:5]
UNK,[C:1]-[CH;D3;+0:2](-[OH;D1;+0:3])-[c:4]>>[C:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[c:4]
UNK,[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].C-C1(-C)-O-B(-[c;H0;D3;+0:4](:[c:5]):[c:6])-O-C-1(-C)-C
UNK,[C:2]-[CH;D3;+0:1](-[C:3])-[N;H0;D3;+0:5](-[C:4])-[C:6]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[C:4]-[NH;D2;+0:5]-[C:6]
UNK,[C;D1;H3:4]-[C:5](-[C;D1;H3:6])(-[C;D1;H3:7])-[#8:8]-[C:9](=[O;D1;H0:10])-[#7:11]-[NH;D2;+0:12]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[C;D1;H3:4]-[C:5](-[C;D1;H3:6])(-[C;D1;H3:7])-[#8:8]-[C:9](=[O;D1;H0:10])-[#7:11]-[NH2;D1;+0:12]
UNK,[O;D1;H0:3]=[C:2]-[OH;D1;+0:1]>>C-C(-C)(-C)-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3]
UNK,[#7;a:3]:[c:2](:[#7;a:4])-[CH2;D2;+0:1]-[O;H0;D2;+0:6]-[C:5]>>Br-[CH2;D2;+0:1]-[c:2](:[#7;a:3]):[#7;a:4].[C:5]-[OH;D1;+0:6]
UNK,[O;D1;H0:7]=[C:6]-[c:5]1:[c:4]:[#7;a:3]:[#7;a:2]:[nH;D2;+0:1]:1>>C-O-c1:c:c:c(-C-[n;H0;D3;+0:1]2:[#7;a:2]:[#7;a:3]:[c:4]:[c:5]:2-[C:6]=[O;D1;H0:7]):c:c:1
UNK,[c:4]-[O;H0;D2;+0:3]-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].[OH;D1;+0:3]-[c:4]
UNK,[#7;a:5]:[c:4]:[c:2](:[#7;a:3])-[CH2;D2;+0:1]-[NH;D2;+0:7]-[C:6]>>O=[CH;D2;+0:1]-[c:2](:[#7;a:3]):[c:4]:[#7;a:5].[C:6]-[NH2;D1;+0:7]
UNK,[#8:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#8:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH2;D1;+0:8]
UNK,[OH;D1;+0:1]-[c:2]>>C-[O;H0;D2;+0:1]-[c:2]
UNK,[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[S;H0;D2;+0:5]-[C:4]>>F-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C:4]-[SH;D1;+0:5]
UNK,[C:4]-[N;H0;D3;+0:5](-[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>F-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[NH;D2;+0:5]-[c:6]
UNK,[O;D1;H0:2]=[C;H0;D3;+0:1](-[c:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[NH2;D1;+0:4]-[c:5]
UNK,[C:1]-[NH;D2;+0:2]-[C:3]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-C-c1:c:c:c:c:c:1
UNK,[#7:2]=[C;H0;D3;+0:1](-[c:3]:[#7;a:4])-[N;H0;D3;+0:6](-[C:5])-[C:7]>>Cl-[C;H0;D3;+0:1](=[#7:2])-[c:3]:[#7;a:4].[C:5]-[NH;D2;+0:6]-[C:7]
